 SWG ID,Date,Collector,Plot,Method,Locality,Coordinates,Order,Family,Genus,Species,M/F,Size,Notes,Field_collector,field_plant_sp,Determined by,Specimen ID status,Status notes,full_plant_sp,TRUE_SP,UT_ID,diversity_exclude,network_exclude,other_exclude,Morphospecies,Site,Plot,Taxon
SWG23_0078,8 VI 23,Jha Lab-UT,Whitney Main,PM Netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Lepidoptera,Lycaenidae,Strymon,melinus,,,"Pinned, Mouse damage",M. Caballero,PRGL,,,,,,,,,,,,,
SWG23_0079,8 VI 23,Jha Lab-UT,Whitney Main,PM Netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Lepidoptera,Nymphalidae,Polygonia,interrogationis,,,"Pinned, Mouse damage",M. Caballero,PRGL,,,,,,,,,,,,,
SWG23_0080,8 VI 23,Jha Lab-UT,Whitney Main,PM Netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Lepidoptera,Hesperiidae,Atalopedes,campestris,,,"Pinned, Mouse damage",M. Caballero,RUHI2,,,,,,,,,,,,,
SWG23_0081,8 VI 23,Jha Lab-UT,Whitney Main,PM Netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Lepidoptera,Pieridae,Pyrisitia,lisa,,,,M. Caballero,RUHI2,,,,,,,,,,,,,
SWG23_0082,8 VI 23,Jha Lab-UT,Whitney Main,PM Netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Lepidoptera,Pieridae,Pyrisitia,lisa,,,,H. Afshar,RUHI2,,,,,,,,,,,,,
SWG23_0083,8 VI 23,Jha Lab-UT,Whitney Main,PM Netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Lepidoptera,Pieridae,Pyrisitia,lisa,,,,E. Rivera,VEHA,,,,,,,,,,,,,
SWG23_0084,8 VI 23,Jha Lab-UT,Whitney Main,PM Netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Lepidoptera,Nymphalidae,Junonia,coenia,,,,E. Rivera,RUHI2,,,,,,,,,,,,,
SWG23_0085,8 VI 23,Jha Lab-UT,Whitney Main,PM Netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Lepidoptera,Nymphalidae,Junonia,coenia,,,,R. Kusumo,RUHI2,,,,,,,,,,,,,
SWG23_0086,8 VI 23,Jha Lab-UT,Whitney Main,PM Netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Lepidoptera,Nymphalidae,Asterocampa,celtis,,,,M. Caballero,PRGL,,,,,,,,,,,,,
SWG23_0087,8 VI 23,Jha Lab-UT,Whitney Main,PM Netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Lepidoptera,Lycaenidae,Strymon ,melinus,,,,H. Afshar,ASVI2,,,,,,,,,,,,,
