ITIS_name,USDA_name,USDA_code,not_in_data,Lifespan,Nativity,Seeded/Adventive,Flower Color
Nama jamaicensis,Nama jamaicense,NAJA,F,Annual,N,Adventive,"White, Pink"
Ampelopsis arborea,Nekemias arborea,NEAR5,F,Perennial,N,Adventive,Green
Nemastylis geminiflora,Nemastylis geminiflora,NEGE,F,Perennial,N,Adventive,Blue
Neptunia lutea,Neptunia lutea,NELU2,F,Perennial,N,Adventive,Yellow
Nothoscordum bivalve,Nothoscordum bivalve,NOBI2,F,Perennial,N,Adventive,White
Nuttallanthus texanus,Nuttallanthus texanus,NUTE,F,Annual,N,Adventive,"Blue, Violet"
Oenothera laciniata,Oenothera laciniata,OELA,F,Annual,N,Adventive,Yellow
Oenothera rhombipetala,Oenothera rhombipetala,OERH,F,Annual,N,Adventive,Yellow
Oenothera spachiana,Oenothera spachiana,OESP,F,Annual,N,Adventive,"Pink, Yellow"
Oenothera speciosa,Oenothera speciosa,OESP2,F,Perennial,N,Adventive,"White, Pink"
Oenothera suffrutescens,Oenothera suffrutescens,OESU3,F,Perennial,N,Adventive,"White, Red, Pink"
Oenothera suffulta,Oenothera suffulta,OESU4,,Annual,N,Adventive,"White, Pink"
Oenothera triloba,Oenothera triloba,OETR2,F,Annual,N,Adventive,"Orange, Yellow"
Opuntia spp.,Opuntia spp.,OPUNT,F,Perennial,N,Adventive,"Red, Pink, Orange, Yellow, Purple"
Oxalis dillenii,Oxalis dillenii,OXDI2,F,Perennial,N,Adventive,Yellow
Palafoxia callosa,Palafoxia callosa,PACA3,F,Annual,N,Adventive,"White, Pink, Purple"
Passiflora incarnata,Passiflora incarnata,PAIN6,F,Perennial,N,Adventive,"Pink, Blue, Purple"
Packera tampicana,Packera tampicana,PATA5,F,Annual,N,Adventive,Yellow
Pediomelum linearifolium,Pediomelum linearifolium,PELI10,F,Perennial,N,Adventive,"White, Blue, Purple, Violet"
Persicaria spp.,Polygonum spp.,PERSI,F,"Annual, Perennial",N,Adventive,"White, Pink, Green"
Phytolacca americana,Phytolacca americana,PHAM4,F,Perennial,N,Adventive,"White, Pink, Purple"
Physaria gracilis,Lesquerella gracilis,LEGR2,F,Annual,N,Adventive,Yellow
Phyla nodiflora,Phyla nodiflora,PHNO2,F,Perennial,N,Adventive,"White, Pink, Red"
Phyllanthus polygonoides,Phyllanthus polygonoides,PHPO3,F,Perennial,N,Adventive,"White, Green"
Phyla spp.,Phyla spp.,PHYLA,,Perennial,N,Adventive,"White, Red, Pink, Yellow, Blue, Purple"
Physalis spp.,Physalis spp.,PHYSA,F,"Annual, Perennial",N,Adventive,"White, Yellow, Green, Purple, Brown, Black"
Polygala incarnata,Polygala incarnata,POIN4,F,Annual,N,Adventive,"White, Pink, Purple"
Polypremum procumbens,Polypremum procumbens,POPR4,F,"Annual, Perennial",N,Adventive,White
